META_TITLE,한글
PAGE_MAIN,메인
PAGE_TIMELINE,타임라인
PAGE_RANK,랭크
PAGE_EXPORT,익스포트
PAGE_SETTING,설정
PAGE_ABOUT,About
PAGE_SETTING_ALIAS,별명
PAGE_SETTING_IGNORE_PROCESS,예외 프로세스
,
TRACE_START,시작
TRACE_STOP,중지
,
BUTTON_REALTIME,실시간
EXPORT_YOUTUBE,유투브 타임라인
EXPORT_SET_FIRSTTIME,Set FirstTime
EXPORT_COPY,복사
EXPORT_EXPORT,추출
,
,
UPDATE_TIME_TRACE,갱신 주기
UPDATE_TIME_TIMELINE,타임라인 갱신 주기
UPDATE_TIME_RANK,랭크 갱신 주기
TIMELINE_WRITE_TIME,타임라인 기록 주기
,
DESCRIPTION_TIMELINE_WRITE_TIME,해당 시간동안 가장 많이 활성화된 창만 기록합니다. 0분이라면 
,
,
,
SEARCH_PROCESS,프로세스 검색
SEARCH_PLACEHOLDER,검색
BUTTON_SHOW_PROCESS_WITHOUT_ALIAS,별명이 지정되지 않은 프로세스 표시
,
SEARCH_TYPE_PROCESS,프로세스명
SEARCH_TYPE_ALIAS,별명
,
SET_ALIAS,별명 지정
SET_IGNORE_PROCESS,프로세스 지정
,
MESSAGE_INSERT_ALIAS,별명을 입력해야 합니다
MESSAGE_INSERT_PROCESS,이름을 입력해야 합니다
MESSAGE_DUPLICATE_PROCESS,이미 존재하는 이름입니다
MESSAGE_DELETE,정말 삭제하시겠습니까?
,
TITLE_UPDATE_TIME,추적 주기
TITLE_TIMELINE,타임라인
TITLE_ALIAS,별명
,
PLACEHOLDER_PROCESS,프로세스 이름
PLACEHOLDER_ALIAS,별명
,
BUTTON_APPLY,확인
BUTTON_CANCEL,취소
BUTTON_DELETE,삭제
